date,datetime,cash_type,money,coffee_name
2024-03-01,2024-03-01 10:15:50.520,0,1.413455698621417,7
2024-03-01,2024-03-01 12:19:22.539,0,1.413455698621417,6
2024-03-01,2024-03-01 12:20:18.089,0,1.413455698621417,6
2024-03-01,2024-03-01 13:46:33.006,0,-0.5787182292296158,0
2024-03-01,2024-03-01 13:48:14.626,0,1.413455698621417,7
2024-03-01,2024-03-01 15:39:47.726,0,0.41736873469589997,1
2024-03-01,2024-03-01 16:19:02.756,0,1.413455698621417,6
2024-03-01,2024-03-01 18:39:03.580,0,0.41736873469589997,1
2024-03-01,2024-03-01 19:22:01.762,0,1.413455698621417,3
2024-03-01,2024-03-01 19:23:15.887,0,0.41736873469589997,1
2024-03-01,2024-03-01 19:29:17.391,0,0.41736873469589997,1
2024-03-02,2024-03-02 10:22:06.957,0,-0.5787182292296158,0
2024-03-02,2024-03-02 10:30:35.668,1,1.677723668642472,7
2024-03-02,2024-03-02 10:41:41.249,0,0.41736873469589997,1
2024-03-02,2024-03-02 11:59:45.484,0,0.41736873469589997,1
2024-03-02,2024-03-02 14:38:35.535,0,-0.5787182292296158,0
2024-03-02,2024-03-02 16:37:24.475,0,0.41736873469589997,1
2024-03-02,2024-03-02 17:34:54.969,0,-0.5787182292296158,0
2024-03-03,2024-03-03 10:10:43.981,1,1.677723668642472,7
2024-03-03,2024-03-03 10:27:18.561,0,1.413455698621417,7
2024-03-03,2024-03-03 11:33:56.118,0,-0.5787182292296158,4
2024-03-03,2024-03-03 12:26:56.098,0,-0.5787182292296158,0
2024-03-03,2024-03-03 13:09:36.321,0,1.413455698621417,6
2024-03-03,2024-03-03 17:06:40.271,0,1.413455698621417,3
2024-03-03,2024-03-03 17:08:45.895,0,-0.5787182292296158,4
2024-03-03,2024-03-03 18:03:23.369,0,0.41736873469589997,1
2024-03-03,2024-03-03 18:04:27.946,0,0.41736873469589997,1
2024-03-03,2024-03-03 18:08:04.959,0,1.413455698621417,6
2024-03-04,2024-03-04 10:03:51.994,0,1.413455698621417,7
2024-03-04,2024-03-04 10:54:50.958,0,1.413455698621417,7
2024-03-04,2024-03-04 11:05:16.184,0,0.41736873469589997,1
2024-03-04,2024-03-04 14:04:37.734,0,-1.5748051931551315,5
2024-03-05,2024-03-05 09:59:52.651,0,1.413455698621417,7
2024-03-05,2024-03-05 14:34:55.963,0,1.413455698621417,7
2024-03-05,2024-03-05 17:34:06.043,0,1.413455698621417,7
2024-03-05,2024-03-05 17:35:25.021,0,1.413455698621417,6
2024-03-05,2024-03-05 17:36:28.571,0,1.413455698621417,3
2024-03-05,2024-03-05 17:37:13.659,0,1.413455698621417,6
